iter	RMSE
284	0.1164943046
285	0.116396822
286	0.1163091258
287	0.1162410188
288	0.1161463353
289	0.1160523655
290	0.1159802515
291	0.1158827494
292	0.115818783
293	0.1157261338
294	0.1156580408
295	0.115605557
296	0.1155314507
297	0.1154758651
298	0.1154084425
299	0.1153358052
300	0.1152858088
301	0.115213536
302	0.1151443162
303	0.1150758108
304	0.1149943111
305	0.1149506839
306	0.1148700119
307	0.1148142918
308	0.1147309908
309	0.1146528737
310	0.1145776765
311	0.1145216129
312	0.1144551448
313	0.1144023222
314	0.1143649898
315	0.1143082166
316	0.1142595641
317	0.114190547
318	0.1141395993
319	0.114085761
320	0.1140342857
321	0.1139878407
322	0.1139316968
323	0.113897904
324	0.1138414406
325	0.1137863715
326	0.1137478195
327	0.1136998609
328	0.1136482261
329	0.1136151378
330	0.1135638016
331	0.113532942
332	0.1134889984
333	0.113437306
334	0.1133858318
335	0.1133361115
336	0.1132852288
337	0.1132463718
338	0.1132111254
339	0.1131733963
340	0.113126817
341	0.1130885673
342	0.1130432232
343	0.1130101888
344	0.1129567019
345	0.1129052167
346	0.1128705537
347	0.1128264447
348	0.1127880738
349	0.1127742171
350	0.1127540733
351	0.1127129526
352	0.1126813735
353	0.1126479433
354	0.1126162301
355	0.1125929126
356	0.1125722262
357	0.1125409246
358	0.1125169072
359	0.1124861858
360	0.1124577851
361	0.1124247489
362	0.1123987287
363	0.1123568236
364	0.1123360627
365	0.1123122726
366	0.1122864278
367	0.1122513877
368	0.1122242806
369	0.1121935334
370	0.1121540654
371	0.1121183476
372	0.1121005349
373	0.1120766715
374	0.1120567478
375	0.112034378
376	0.1120138953
377	0.1119907243
378	0.1119686677
379	0.1119461404
380	0.1119099441
381	0.1118863745
382	0.111861357
383	0.1118399128
384	0.1118131145
385	0.1117929414
386	0.1117606508
387	0.1117291997
388	0.1117057478
389	0.1116857891
390	0.111662176
391	0.1116420264
392	0.1116177688
393	0.111588184
394	0.11156565
395	0.1115522382
396	0.1115266464
397	0.1115071551
398	0.1114893501
399	0.1114624401
400	0.111444585
401	0.1114230919
402	0.1114011221
403	0.1113780541
404	0.1113600957
405	0.11134721
406	0.1113244084
407	0.1113071683
408	0.1112937918
409	0.1112769927
410	0.111254775
411	0.1112356467
412	0.111216343
413	0.1111912804
414	0.1111619931
415	0.1111373292
416	0.1111247388
417	0.1111049146
418	0.1110912514
419	0.1110679781
420	0.1110521242
421	0.1110211504
422	0.1109980427
423	0.1109798228
424	0.1109627919
425	0.1109305459
426	0.1109028687
427	0.110892645
428	0.1108779275
429	0.1108655745
430	0.110850822
431	0.110825767
432	0.1108090815
433	0.1107928686
434	0.1107744932
435	0.1107516522
436	0.1107322995
437	0.1107250031
438	0.1106992004
439	0.1106888359
440	0.1106760176
441	0.110665364
442	0.1106569229
443	0.1106392643
444	0.1106279543
445	0.110607805
446	0.110596779
447	0.110580236
448	0.1105686878
449	0.1105610736
450	0.1105457335
451	0.1105338118
452	0.110517712
453	0.1104971607
454	0.1104794962
455	0.110461431
456	0.1104575711
457	0.1104429453
458	0.1104306146
459	0.1104199294
460	0.1104106697
461	0.1103960732
462	0.1103856133
463	0.1103797011
464	0.1103636222
465	0.1103461177
466	0.1103264769
467	0.1103114433
468	0.110301859
469	0.1102960014
470	0.1102854965
471	0.1102804785
472	0.110265991
473	0.1102531748
474	0.1102481
475	0.1102247513
476	0.1102107184
477	0.1102020491
478	0.1101914642
479	0.1101836146
480	0.1101750735
481	0.1101660459
482	0.1101562909
483	0.1101505836
484	0.110142273
485	0.1101401755
486	0.1101266098
487	0.1101133546
488	0.1100939174
489	0.1100871952
490	0.1100852507
491	0.1100774806
492	0.1100608199
493	0.1100564281
494	0.1100410334
495	0.1100345096
496	0.1100222121
497	0.1100155013
498	0.1100010739
499	0.1099916365
500	0.1099798644
501	0.1099699346
502	0.1099638141
503	0.1099589989
504	0.1099560432
505	0.1099477575
506	0.1099268543
507	0.1099120906
508	0.1099009988
509	0.1098880054
510	0.1098786414
511	0.1098724644
512	0.109865685
513	0.1098596617
514	0.1098502319
515	0.109846097
516	0.109839015
517	0.1098256181
518	0.109818412
519	0.1098058288
520	0.109801712
521	0.1097985699
522	0.10979771
523	0.1097912312
524	0.1097806503
525	0.1097724067
526	0.1097707381
527	0.1097675237
528	0.1097628585
529	0.1097606507
530	0.1097462651
531	0.1097341217
532	0.1097339551
533	0.1097288405
534	0.109718198
535	0.1097057065
536	0.1096990715
537	0.1096810404
538	0.1096777956
539	0.1096705004
540	0.1096633039
541	0.1096575075
542	0.1096486992
543	0.1096398426
544	0.1096283343
545	0.1096236314
546	0.1096115299
547	0.1096018923
548	0.1095991056
549	0.109598141
550	0.1095790729
551	0.1095670539
552	0.1095608474
553	0.1095564315
554	0.1095517216
555	0.1095485921
556	0.109547484
557	0.1095462965
558	0.1095290149
559	0.1095114524
560	0.1095043567
561	0.1095001173
562	0.1094999226
563	0.1094898738
564	0.1094820893
565	0.1094817078
566	0.1094614032
567	0.1094558067
568	0.1094553337
569	0.1094490612
570	0.1094439133
571	0.1094390157
572	0.1094387732
573	0.1094381609
574	0.1094339389
575	0.1094331199
576	0.1094328655
577	0.1094289851
578	0.1094126353
579	0.1094038511
580	0.1094005702
581	0.1093903412
582	0.109389693
583	0.1093890884
584	0.1093835996
585	0.1093834008
586	0.109367971
587	0.1093677841
588	0.1093663201
589	0.1093623618
590	0.1093596288
591	0.1093507249
592	0.1093423455
593	0.109338641
594	0.1093329507
595	0.1093328393
596	0.1093269497
597	0.1093247212
598	0.1093206619
599	0.1093134264
600	0.1093129846
601	0.1093087936
602	0.1093083279
603	0.1092929672
604	0.1092875333
605	0.1092811755
606	0.1092758087
607	0.1092722692
608	0.1092631113
609	0.1092607341
610	0.1092606226
611	0.1092558879
612	0.1092439011
613	0.1092370389
614	0.109231192
615	0.1092270018
616	0.1092262529
617	0.1092228791
618	0.1092175493
619	0.1092174736
620	0.1092038212
621	0.1091995582
622	0.1091808788
623	0.1091777865
624	0.109164986
625	0.1091625987
626	0.1091580312
627	0.1091453959
628	0.109128884
629	0.1091209261
630	0.1091106829
631	0.1091046976
632	0.1090997887
633	0.1090894917
634	0.1090894438
635	0.1090885305
636	0.1090826716
637	0.1090825241
638	0.1090739246
639	0.1090736175
640	0.1090702549
641	0.1090606492
642	0.1090481023
643	0.1090358013
644	0.1090311048
645	0.1090119814
646	0.1090109757
647	0.1089987544
648	0.1089962476
649	0.1089757688
650	0.1089750142
651	0.1089747347
652	0.1089745112
653	0.1089731937
654	0.1089709858
655	0.108962154
656	0.108962142
657	0.1089592911
658	0.1089592551
659	0.1089592392
660	0.1089548268
661	0.1089546951
662	0.1089483498
663	0.1089353426
664	0.1089352947
665	0.108934428
666	0.1089342243
667	0.1089302863
668	0.1089245108
669	0.1089131865
670	0.1089115248
671	0.108911325
672	0.1089112052
673	0.1089102744
674	0.1089100866
675	0.1088962479
676	0.1088890082
677	0.1088841176
678	0.1088778361
679	0.1088776363
680	0.1088771688
681	0.1088767612
682	0.1088734285
683	0.1088590615
684	0.1088552087
685	0.1088545852
686	0.1088540137
687	0.1088511998
688	0.108848338
689	0.1088458998
690	0.1088403516
691	0.1088365901
692	0.1088357866
693	0.1088337279
694	0.108833568
695	0.108830178
696	0.1088231418
697	0.1088128905
698	0.1088084563
699	0.1088084603
700	0.1088082684
701	0.1088056533
702	0.1088033021
703	0.1087943967
704	0.1087905336
705	0.1087903416
706	0.1087902696
707	0.1087578555
708	0.1087571955
709	0.1087571755
710	0.1087505026
711	0.108746994
712	0.1087437534
713	0.1087397124
714	0.1087281168
715	0.1087103009
716	0.1087022203
717	0.1087020122
718	0.1086887154
719	0.1086847164
720	0.108684232
721	0.1086817101
722	0.10867432
723	0.1086740237
724	0.1086707048
725	0.1086625092
726	0.1086595623
727	0.1086594302
728	0.1086576244
729	0.1086574402
730	0.1086534961
731	0.1086520666
732	0.108651526
733	0.1086484227
734	0.1086480022
735	0.1086448908
736	0.1086419754
737	0.108641631
738	0.108640714
739	0.1086404977
740	0.1086320916
741	0.1086319794
742	0.1086309301
743	0.1086307058
744	0.108620096
745	0.1086181854
746	0.1086181413
747	0.1086167794
748	0.1086093008
749	0.1086091446
750	0.1086039729
751	0.1085999468
752	0.1085907963
753	0.1085856638
754	0.1085854314
755	0.1085852992
756	0.1085812043
757	0.1085785477
758	0.1085755945
759	0.1085751337
760	0.1085750415
761	0.1085596532
762	0.1085532327
763	0.1085429079
764	0.1085428999
765	0.1085427957
766	0.1085427997
767	0.1085427917
768	0.1085405189
769	0.1085383303
770	0.1085364945
771	0.1085346425
772	0.1085340933
773	0.1085340893
774	0.1085307661
775	0.1085307621
776	0.1085303131
777	0.1085303131
778	0.1085299363
779	0.1085288179
780	0.1085287016
781	0.1085282967
782	0.1085282967
783	0.1085139923
784	0.1084982906
785	0.1084978254
786	0.1084976971
787	0.1084953312
788	0.1084859473
789	0.1084855743
790	0.1084855623
791	0.108485458
792	0.108485454
793	0.108485454
794	0.10848545
795	0.108485446
796	0.1084840664
797	0.1084839261
798	0.1084748781
799	0.1084748741
800	0.1084727082
801	0.1084718699
802	0.1084717416
803	0.1084472522
804	0.1084472522
805	0.108444456
806	0.1084289809
807	0.1084133391
808	0.1084113044
809	0.1084112723
810	0.1084112723
811	0.1084078611
812	0.1084074116
813	0.1084071106
814	0.1084070464
815	0.1084032738
816	0.1083952747
817	0.1083927741
818	0.1083771231
819	0.108377095
820	0.1083770067
821	0.1083748429
822	0.1083686323
823	0.1083686122
824	0.1083668497
825	0.1083668055
826	0.1083634491
827	0.108356471
828	0.108356471
829	0.108356471
830	0.1083467418
831	0.1083466454
832	0.1083418708
833	0.1083415295
834	0.1083415214
835	0.1083414572
836	0.1083412042
837	0.10834116
838	0.1083408629
839	0.1083384654
840	0.1083382164
841	0.1083382084
842	0.1083358631
843	0.1083355539
844	0.1083312768
845	0.1083311523
846	0.1083285418
847	0.1083285017
848	0.1083284494
849	0.1083264935
850	0.1083245536
851	0.1083245175
852	0.1083242845
853	0.1083221679
854	0.1083221518
855	0.1083195331
856	0.108319035
857	0.108319031
858	0.1083132831
859	0.1083132671
860	0.1083036183
861	0.1083010313
862	0.1082987896
863	0.1082972831
864	0.1082972831
865	0.1082959574
866	0.1082952182
867	0.1082952182
868	0.1082923778
869	0.1082923457
870	0.1082906181
871	0.1082905538
872	0.108288987
873	0.1082871589
874	0.1082851701
875	0.1082851701
876	0.108285158
877	0.108277986
878	0.108277982
879	0.1082779498
880	0.1082761296
881	0.1082754747
882	0.1082754546
883	0.1082754264
884	0.1082740643
885	0.1082738995
886	0.1082733731
887	0.1082646371
888	0.108264613
889	0.1082645768
890	0.1082644402
891	0.1082644281
892	0.1082644241
893	0.1082633632
894	0.108263319
895	0.1082629091
896	0.1082627805
897	0.1082627403
898	0.1082627403
899	0.1082622902
900	0.1082614342
901	0.1082600397
902	0.1082574195
903	0.1082552493
904	0.1082550041
905	0.1082548072
906	0.1082469699
907	0.1082460495
908	0.1082460134
909	0.1082460093
910	0.1082405229
911	0.108238899
912	0.1082382398
913	0.1082382036
914	0.1082381996
915	0.1082357316
916	0.1082341478
917	0.108230924
918	0.1082308918
919	0.1082302325
920	0.1082281904
921	0.1082281583
922	0.1082279291
923	0.108227897
924	0.1082277643
925	0.1082272578
926	0.1082272297
927	0.1082247131
928	0.1082229162
929	0.1082212518
930	0.1082212518
931	0.108220287
932	0.1082197884
933	0.1081993637
934	0.1081913977
935	0.1081913696
936	0.1081860493
937	0.1081856753
938	0.1081856552
939	0.1081856431
940	0.10818543
941	0.1081852289
942	0.1081787259
943	0.1081748569
944	0.1081732079
945	0.1081731918
946	0.1081731475
947	0.1081731194
948	0.1081730993
949	0.1081624284
950	0.1081620704
951	0.1081576095
952	0.1081575813
953	0.1081575733
954	0.1081300273
955	0.1081206198
956	0.1081203421
957	0.1081201892
958	0.1081108653
959	0.1081092113
960	0.1081088451
961	0.1081073963
962	0.108107014
963	0.1081050017
964	0.1081049776
965	0.1081049414
966	0.1081049132
967	0.1081048126
968	0.108103734
969	0.1081019068
970	0.1081018867
971	0.1081018827
972	0.1081013193
973	0.1080984456
974	0.1080966948
975	0.1080952982
976	0.1080952942
977	0.1080933582
978	0.1080922191
979	0.108092203
980	0.108088347
981	0.1080807634
982	0.1080807392
983	0.1080802642
984	0.108073147
985	0.108073143
986	0.1080730142
987	0.10807299
988	0.1080729578
989	0.1080699304
990	0.1080686663
991	0.1080686502
992	0.108068457
993	0.1080673458
994	0.1080673338
995	0.108065514
996	0.1080655181
997	0.1080652805
998	0.1080652604
999	0.1080586012
